outrun|(1, [138622])
believe|(145, [2139, 2560, 2565, 3786, 4050, 5955, 6217, 7009, 8267, 11376, 11460, 12531, 16858, 18231, 18418, 18424, 21996, 23825, 23858, 33945, 34494, 34814, 38742, 41275, 41601, 41897, 43652, 44707, 45175, 45510, 50123, 55196, 61169, 61176, 61198, 61444, 65013, 65177, 65648, 66450, 66952, 86659, 87140, 87166, 87240, 93707, 99213, 99651, 101925, 102803, 103223, 105448, 111363, 116795, 120713, 132057, 135292, 136836, 150471, 150590, 151218, 157171, 160075, 161362, 162727, 167060, 172303, 173304, 175537, 177897, 178407, 179099, 179558, 185940, 189839, 192499, 193622, 197601, 198413, 198831, 210146, 210865, 221845, 226712, 226795, 227868, 228080, 229015, 232542, 232763, 232823, 234137, 238892, 241446, 242784, 244824, 246053, 246776, 247054, 250177, 253205, 255184, 258329, 258514, 259332, 263459, 265654, 267284, 271048, 273007, 273341, 275026, 277746, 279956, 286105, 296854, 300677, 308018, 309801, 311046, 312332, 314264, 315708, 319163, 322075, 330248, 330654, 333460, 334156, 334820, 335689, 335921, 336574, 337023, 337821, 338785, 342460, 343143, 348588, 353329, 353423, 353820, 356592, 356605, 359165])
pres|(1, [19979])
resist|(12, [45844, 46064, 96989, 113320, 128295, 131104, 143646, 145065, 167056, 171345, 211781, 258958])
profit|(3, [231085, 298028, 298372])
got|(1, [216515])
vent|(1, [242280])
observation|(1, [86948])
deprecate|(1, [129885])
endeavor|(52, [4887, 8949, 25104, 30687, 36632, 41732, 45851, 51745, 55172, 57472, 62148, 62437, 63480, 69739, 74869, 75183, 87280, 100019, 106790, 111280, 111351, 120711, 120887, 128163, 137696, 139816, 143129, 144616, 145478, 146079, 147726, 148320, 178831, 185058, 185134, 186045, 190647, 204928, 240531, 240874, 242093, 255688, 261209, 269142, 291059, 305461, 306372, 306556, 327271, 330934, 348912, 354431])
refrain|(12, [25072, 152164, 160127, 168932, 169042, 180428, 206521, 210773, 226804, 264982, 288720, 343985])
refute|(2, [149362, 341275])
meander|(3, [92925, 157311, 157713])
rain|(1, [53595])
pull|(24, [10066, 13068, 40981, 104112, 121609, 169106, 180997, 204814, 229765, 242022, 242095, 259738, 277958, 299509, 300804, 301714, 301993, 304633, 305401, 310588, 328470, 330659, 339594, 352715])
tincture|(1, [76988])
rend|(1, [194822])
thenceforward|(1, [174261])
roar|(14, [4382, 15251, 27659, 36535, 82824, 91887, 96714, 99399, 123719, 204181, 277286, 288813, 317445, 335505])
assault|(1, [256710])
bellow|(2, [290202, 303245])
instant|(1, [283492])
propound|(4, [105588, 111114, 261303, 335606])
