immoveable|(1, [137950])
general|(140, [2435, 14418, 16079, 16229, 16386, 18234, 18473, 18718, 20469, 25446, 27433, 29620, 32123, 32444, 37143, 37184, 38775, 41951, 42853, 47532, 52639, 54435, 55635, 57308, 57382, 58278, 58458, 58847, 59546, 60199, 60425, 60463, 60855, 60953, 61744, 63837, 64583, 70940, 71203, 71390, 73693, 79123, 79611, 86972, 86998, 87106, 93799, 96069, 99802, 100393, 101149, 102083, 102111, 104937, 106277, 106961, 106990, 110263, 110834, 112463, 117327, 117943, 119536, 140652, 142688, 144724, 146867, 146937, 147441, 149391, 150349, 151611, 151827, 153816, 154141, 154459, 154661, 156871, 157724, 158065, 162664, 162841, 163182, 163399, 170777, 173134, 189400, 192607, 208217, 220470, 220860, 233407, 234789, 236769, 239183, 239387, 244522, 256143, 260337, 267492, 267696, 271525, 274495, 279751, 281564, 281675, 285730, 286189, 287482, 296150, 301306, 301698, 302154, 305001, 307882, 307966, 308580, 309576, 309783, 312523, 319289, 319863, 326124, 334604, 337729, 340228, 341307, 343401, 343643, 344535, 344592, 347208, 348037, 348100, 354960, 355582, 355894, 356688, 359674, 359948])
stolid|(2, [320592, 359202])
garden|(4, [151884, 152274, 343700, 344122])
buck-wheat|(1, [301523])
artistical|(3, [151040, 325672, 342933])
unseen|(7, [144172, 146253, 147357, 154291, 174046, 259346, 310960])
demanding|(1, [313370])
latent|(1, [183044])
unarmed|(3, [49530, 233540, 236016])
northern|(19, [9519, 13992, 14685, 81027, 156138, 156179, 157245, 157545, 158133, 158820, 158939, 219586, 222461, 223520, 226611, 228943, 238469, 239593, 322316])
hybrid|(1, [192945])
ingenious|(21, [7117, 18694, 19929, 34308, 38713, 38716, 38812, 83194, 85482, 85621, 89869, 155921, 231056, 310346, 319046, 331057, 334806, 339129, 345448, 350788, 351265])
horribly|(1, [240572])
warm|(16, [116, 22704, 31733, 41136, 65479, 127720, 145220, 155138, 205527, 212972, 214742, 226902, 243120, 252880, 254997, 324584])
embroidered|(1, [165947])
elevated|(3, [142356, 152991, 166957])
amriccan|(1, [322264])
flat-looking|(1, [104169])
unendurable|(3, [120862, 146208, 359747])
sunken|(2, [144391, 251371])
instant|(30, [196, 19483, 22838, 39770, 46323, 74856, 83883, 100202, 111725, 120934, 125529, 134408, 141061, 143571, 165717, 167512, 177085, 178699, 200822, 205179, 207644, 209327, 251349, 257251, 260723, 265566, 285405, 287879, 308395, 328439])
mixed|(3, [151851, 214858, 343667])
*2|(1, [356395])
pall-like|(1, [249350])
chiefly|(4, [83710, 212765, 213982, 263653])
snow|(3, [219550, 221483, 224968])
verbal|(5, [72005, 119123, 244964, 245046, 307326])
beating|(1, [184288])
chilly|(1, [313829])
ill-constructed|(1, [7343])
yxu|(3, [281359, 281374, 281439])
sad|(26, [24314, 37239, 53442, 64589, 70706, 121346, 128759, 132269, 132662, 138443, 147442, 149143, 170181, 174253, 184619, 210868, 253581, 273088, 278499, 294346, 313711, 328673, 355546, 357171, 357345, 358118])
colourless|(1, [229194])
flattened|(2, [13931, 72569])
twelve-pound|(1, [218170])
unvollkommen|(1, [51498])
commodious|(1, [320615])
former|(62, [2722, 9750, 10416, 14903, 19163, 25237, 27902, 27959, 35450, 39244, 41255, 41837, 43775, 45836, 57341, 63126, 70538, 70852, 76730, 80593, 81803, 87720, 93502, 97209, 106119, 113969, 114205, 114486, 133298, 134878, 136927, 147003, 164140, 171879, 181938, 183183, 183665, 183935, 192777, 196374, 201895, 206843, 211765, 216574, 222867, 230372, 230879, 250657, 264700, 282003, 282428, 285952, 286016, 297748, 301388, 308137, 312672, 344835, 346010, 347998, 349634, 356979])
fervid|(3, [119081, 152089, 343905])
deceived-to|(1, [18670])
condemned|(1, [139093])
tiled|(1, [103866])
characteristic|(4, [129480, 171244, 267549, 284292])
excited|(11, [13443, 39645, 108693, 118722, 121646, 171777, 177383, 186532, 268960, 279868, 283572])
intelligible|(11, [48127, 48825, 51708, 54323, 72044, 111195, 120361, 130507, 293562, 293571, 314626])
geometrical|(1, [60555])
pregnant|(1, [131336])
sulky|(1, [40285])
changeable|(3, [229225, 247276, 249529])
attendant|(2, [194582, 325193])
irrepressible|(3, [80271, 120775, 240685])
politeness|(1, [71997])
preeminent|(1, [341466])
incidental|(1, [62684])
remained|(1, [326952])
seventh|(13, [14093, 21195, 26013, 33251, 33506, 34180, 75640, 120665, 124790, 128555, 188625, 279263, 316328])
ample|(8, [38704, 75381, 149772, 186538, 267883, 313054, 317505, 341687])
ineffective|(1, [80634])
publican|(1, [312423])
black|(117, [668, 5713, 9625, 13391, 22148, 22511, 24475, 27634, 76013, 78318, 78520, 78710, 81049, 81275, 88345, 88436, 89844, 89988, 90098, 90102, 90120, 90940, 91522, 92681, 93874, 93994, 94152, 95178, 95280, 95573, 98915, 99819, 100378, 112340, 112378, 113675, 113741, 116195, 117267, 124796, 124946, 126514, 127211, 133160, 133285, 133860, 133973, 135033, 146791, 154580, 156443, 158168, 161224, 167336, 168370, 168699, 182743, 189346, 189723, 197032, 206893, 215747, 217882, 218808, 219815, 221519, 224523, 227448, 227463, 227529, 228733, 229676, 230027, 230053, 230136, 230461, 230494, 233177, 235976, 236802, 236920, 237560, 238157, 238439, 238799, 239094, 239234, 239779, 241132, 243378, 243501, 243963, 245859, 246866, 249356, 249492, 251952, 253909, 256152, 256905, 258542, 266380, 269280, 275158, 276076, 276572, 276589, 276593, 276604, 291486, 300354, 304510, 329847, 333805, 337011, 338388, 360533])
western|(19, [14388, 21449, 21499, 124944, 125011, 132508, 133032, 157002, 157509, 158071, 158151, 158382, 221132, 222784, 222953, 225690, 233177, 235195, 238904])
illustrious|(18, [1555, 18071, 37300, 38877, 62246, 83139, 102159, 144699, 149753, 270681, 282056, 282668, 293127, 293288, 296017, 298971, 303693, 341668])
brief|(53, [14720, 15435, 17823, 20396, 32540, 50100, 52713, 56500, 58121, 65552, 71856, 73705, 74784, 102986, 117469, 125124, 128607, 133108, 137888, 138523, 138526, 139121, 141070, 141601, 148070, 149352, 160628, 163990, 164738, 164877, 165224, 165716, 167455, 167557, 174190, 189453, 223119, 226643, 249920, 253691, 255933, 257838, 298921, 301184, 302465, 307038, 312556, 316453, 322085, 339715, 341263, 346144, 360299])
unriddled|(2, [33219, 46554])
complacent|(1, [267810])
proud|(6, [131706, 154157, 265014, 286695, 294281, 338332])
unconceivable|(1, [206665])
lonesome|(1, [248342])
satisfied|(15, [72941, 83780, 88079, 110046, 115076, 128646, 169525, 182507, 260279, 305260, 309779, 323737, 334912, 340543, 349731])
well-digested|(1, [86740])
maliceful|(2, [121563, 121773])
beneath|(2, [74617, 111939])
oblong|(9, [28296, 232168, 325458, 326532, 327171, 327388, 327458, 328113, 328418])
triple-stemmed|(1, [156686])
intermediate|(3, [152577, 307384, 344397])
heartful|(1, [14576])
whaling|(4, [175675, 179575, 185791, 188811])
demonstrable|(2, [19525, 354752])
dissimilar|(3, [161653, 329926, 356773])
stiff-looking|(1, [270012])
sterile|(3, [221618, 221674, 226725])
durable|(2, [30424, 161448])
swallow-tailed|(2, [276571, 276745])
ale|(1, [271904])
limitless|(2, [225651, 244100])
eighty|(7, [6372, 156157, 156744, 218053, 233372, 278860, 303594])
hippocratian|(1, [331073])
gnarled|(1, [160382])
small|(158, [2282, 3015, 5712, 9515, 10557, 10795, 10884, 13030, 14642, 15341, 18871, 21569, 22286, 29089, 38930, 41041, 41210, 41469, 42230, 42571, 49009, 55984, 58507, 58859, 60305, 60519, 60527, 60901, 65456, 68838, 73892, 75822, 77242, 78005, 79053, 80950, 81300, 88447, 91337, 94806, 95629, 98376, 99954, 103151, 103757, 104139, 112327, 118827, 118932, 119778, 119860, 120176, 132445, 132701, 133963, 137159, 139992, 141691, 142541, 148798, 153898, 154551, 157036, 157208, 158060, 159343, 159487, 160889, 163580, 164212, 164371, 167398, 173049, 178373, 180965, 181316, 184925, 185330, 186028, 187027, 192089, 193052, 193978, 194965, 195649, 196870, 197430, 198218, 209170, 209459, 209497, 212052, 212267, 213411, 213539, 213607, 213637, 214347, 217561, 219466, 219646, 219673, 219725, 220479, 221086, 222138, 222982, 223904, 225883, 226078, 226362, 226490, 229017, 229810, 229846, 232396, 232617, 234772, 236380, 236824, 237172, 239251, 239425, 241252, 244928, 250916, 255709, 256606, 257880, 265218, 267763, 273420, 275093, 281174, 283524, 285503, 287924, 288171, 293068, 293650, 301440, 303607, 306225, 309893, 310164, 311654, 312247, 313183, 313873, 316491, 317557, 318443, 322610, 338718, 346913, 346985, 347049, 347300])
angelic|(3, [108336, 250326, 259786])
malicious|(1, [91898])
inaccurate|(2, [89510, 315114])
raw|(2, [189306, 202990])
brought|(1, [92874])
15-z|(1, [296443])
x-ed|(1, [281791])
overcome|(1, [189775])
let|(2, [321775, 321831])
tufted|(1, [248970])
weather-beaten|(1, [79819])
indian|(12, [48525, 50158, 155141, 189810, 189850, 249336, 255022, 255266, 257559, 268799, 313796, 318395])
conclusive|(9, [19613, 46378, 54996, 57291, 57292, 97229, 182824, 244797, 295431])
deep-toned|(1, [355883])
prim|(1, [265554])
five-pound|(1, [8292])
separate|(7, [20158, 38748, 94343, 142251, 269478, 292801, 327076])
foaming|(1, [77746])
ever-placid|(1, [247483])
lady|(4, [122660, 149214, 329910, 341092])
ce|(1, [161533])
unimpaired|(2, [73883, 345859])
sealed|(1, [220980])
scholar|(3, [136542, 297175, 297363])
lofty|(23, [21009, 92710, 99252, 117248, 119213, 123085, 123467, 124113, 124407, 133804, 154329, 156483, 221447, 239374, 243231, 247931, 249234, 269220, 270770, 282169, 307142, 311090, 360672])
ultra|(4, [272801, 307758, 308773, 334044])
clear-sighted|(1, [296450])
deathful|(1, [151524])
genuine|(7, [68195, 298726, 300092, 300898, 302726, 302815, 322788])
customary|(21, [7670, 63030, 65892, 72507, 78717, 111616, 131030, 139337, 145780, 147677, 148999, 165239, 166094, 198265, 199192, 229129, 250204, 255340, 264607, 325224, 350779])
unburied|(1, [144419])
mesmeric|(16, [105021, 105491, 105504, 105531, 105615, 105647, 105769, 107405, 108830, 109985, 110145, 111301, 111360, 111474, 111608, 111892])
undertaken|(2, [17459, 130009])
en|(1, [302439])
obedient|(3, [81972, 280362, 309409])
cold|(19, [17577, 75367, 78079, 110272, 133413, 139183, 142750, 147215, 176136, 176278, 181382, 182089, 193039, 205434, 223266, 246523, 252285, 268623, 305296])
hazardous|(3, [47035, 194530, 290465])
school-life|(1, [160354])
fillagree|(1, [88263])
cautious|(11, [127333, 142914, 168274, 194949, 213533, 274635, 285683, 301550, 304347, 313033, 327135])
primitive|(13, [38754, 108166, 112923, 129023, 129459, 129623, 151386, 151426, 151499, 157262, 229842, 278592, 343348])
adapted|(1, [234151])
punctual|(1, [13565])
unused|(1, [58751])
lasting|(1, [253035])
urchin|(1, [36365])
immense|(42, [13369, 13842, 15652, 31638, 75579, 77674, 80911, 92678, 93116, 93672, 100131, 113686, 181373, 182378, 182676, 184432, 201988, 203503, 220799, 223331, 223513, 225245, 225342, 225551, 236162, 238375, 241161, 241710, 244110, 247566, 249166, 256511, 264665, 266372, 291246, 292299, 303918, 303999, 305096, 318157, 320628, 334762])
innermost|(1, [11819])
mortal|(11, [95132, 118847, 132673, 141479, 147267, 147767, 168508, 206591, 248498, 332129, 357965])
unattended|(4, [102838, 237518, 290347, 310937])
antagonist|(3, [350326, 350350, 352552])
scarce|(2, [96518, 358853])
available|(2, [148817, 341933])
comprehensible|(2, [38368, 129499])
enabled|(1, [105480])
unremitting|(1, [3618])
untimely|(1, [284068])
scant|(2, [21435, 96267])
ho|(1, [280448])
unfurnished|(1, [268311])
disfigured|(1, [172930])
idolized|(1, [262029])
frog-man|(1, [291315])
unchecked|(1, [65962])
bound|(1, [92000])
properly|(1, [334105])
unintelligible|(8, [2393, 97236, 145902, 151060, 172637, 259973, 300629, 342955])
corresponding|(6, [58960, 239207, 347575, 347606, 350334, 351206])
monkish|(1, [141337])
egyptian|(3, [158698, 245093, 361185])
cheerless|(2, [182561, 224997])
similar|(102, [539, 1497, 2302, 3253, 7447, 8394, 10578, 12079, 12783, 13011, 19362, 22680, 36428, 38237, 45887, 52635, 53619, 62995, 64788, 64957, 64962, 70767, 70773, 77390, 83329, 90233, 90237, 102682, 102894, 107589, 107598, 107606, 107617, 110992, 113368, 113647, 117558, 121412, 125210, 130473, 136873, 148406, 149948, 153297, 159749, 160874, 161178, 163318, 165241, 167313, 171502, 176531, 185552, 187292, 187767, 195167, 198564, 201379, 204631, 210808, 212473, 216301, 217949, 218414, 221668, 229750, 230011, 230200, 234135, 235256, 236107, 238411, 239377, 239427, 240143, 240584, 245360, 246596, 250009, 254852, 258414, 267641, 269926, 279527, 280808, 288853, 298928, 300998, 301229, 308585, 310030, 311403, 311809, 319819, 330228, 331388, 332987, 335587, 341869, 344653, 353214, 359426])
laughable|(1, [59884])
henceforward|(1, [167738])
fantastic|(21, [639, 1150, 39159, 119079, 120648, 124939, 132147, 135207, 158495, 166334, 170499, 171941, 173748, 248945, 249131, 250604, 276647, 285344, 320185, 337573, 356888])
antagonistical|(2, [58430, 129758])
feasible|(3, [72081, 75476, 319069])
forgive|(1, [326419])
ham-skin|(2, [187509, 187724])
annual|(6, [150155, 164775, 254547, 268349, 294901, 342088])
thirty-two|(2, [173048, 233133])
straight|(15, [20389, 20656, 27926, 34246, 124600, 154719, 155672, 227097, 233696, 234400, 238930, 319726, 321878, 322009, 322045])
uniform|(8, [72605, 100672, 122151, 139443, 229638, 239077, 243253, 256624])
ob|(3, [23579, 26478, 28602])
over-curious|(1, [79788])
sixty-six|(1, [224710])
unwrought|(2, [149421, 341340])
naturally-curling|(1, [246565])
preparatory|(1, [107273])
prominent|(7, [35015, 117295, 143964, 184505, 232092, 252718, 353476])
disrupted|(1, [241076])
entire|(87, [962, 3626, 6304, 7047, 8065, 9505, 9592, 10021, 11234, 14140, 16116, 19516, 27464, 29275, 30696, 32779, 39578, 44644, 52934, 61921, 77410, 77623, 77993, 79146, 84076, 84511, 85518, 107553, 113213, 114746, 116528, 122855, 129792, 134563, 135888, 137744, 138780, 140685, 142457, 170876, 178469, 178904, 179226, 186587, 188742, 195783, 201564, 201786, 202475, 205705, 216040, 217576, 217735, 220505, 222810, 228297, 230062, 236306, 239495, 244535, 259414, 266328, 268486, 270069, 270249, 272813, 295358, 295734, 297680, 298857, 306170, 307914, 309040, 310051, 312042, 312215, 316150, 322357, 326403, 330150, 333730, 337074, 341176, 341736, 348271, 351873, 360167])
strict|(9, [28719, 87666, 103599, 119796, 268011, 303077, 338914, 358266, 360256])
horror-inspiring|(1, [360182])
parched|(2, [148329, 185879])
parrotfish|(1, [230192])
sixty|(7, [20453, 92731, 221945, 233723, 239014, 275061, 275085])
dissonant|(1, [36114])
ninety-seven|(1, [29227])
potent|(2, [36733, 140624])
clouds|(1, [78117])
hated|(2, [163231, 166940])
forty-eight|(2, [14497, 327566])
logic|(1, [86945])
