pull|(3, [206337, 276884, 278120])
northern|(1, [14141])
fate|(41, [2196, 51161, 70640, 70652, 70658, 71246, 79539, 89478, 89490, 93606, 94966, 101124, 101522, 115173, 131231, 139318, 146291, 146299, 148225, 149792, 184620, 186883, 189669, 199803, 208212, 211669, 234616, 235505, 245352, 245663, 252666, 253984, 303900, 316684, 316928, 326371, 328674, 329471, 331558, 337451, 356363])
thenceforward|(2, [38671, 113224])
regeneration|(1, [356443])
antiquum|(1, [40550])
roar|(7, [96238, 96509, 97280, 160450, 177531, 182847, 270381])
assault|(4, [187618, 298341, 310400, 315144])
machine|(81, [640, 3591, 10694, 10725, 20223, 20292, 71647, 71850, 71948, 72149, 72179, 72231, 72465, 72701, 72901, 73062, 73206, 73486, 73620, 73779, 74002, 76133, 141029, 142971, 305911, 316907, 337060, 344609, 345457, 345505, 345544, 345588, 345998, 346013, 346379, 346399, 346434, 346675, 346792, 347269, 347468, 347736, 348070, 348143, 348147, 348211, 348338, 348465, 349419, 349797, 350026, 350262, 350554, 350557, 350574, 350628, 350664, 350715, 350799, 350802, 350893, 350956, 351093, 351098, 351622, 351664, 351686, 351739, 351764, 351833, 351874, 351893, 351943, 352106, 352529, 352562, 352649, 352754, 352900, 352903, 353520])
poultry|(1, [222194])
ghost|(10, [67555, 130146, 131134, 133295, 281598, 297967, 306662, 307345, 317146, 322461])
appendix|(2, [164878, 244675])
instant|(62, [1214, 18727, 25217, 27637, 28438, 34328, 38001, 68104, 71899, 71916, 74133, 77600, 78835, 99278, 102364, 105054, 111489, 111797, 115728, 122634, 128212, 128631, 130928, 137613, 153442, 159991, 164497, 166852, 167437, 168975, 169097, 178385, 182839, 187416, 199890, 201693, 202099, 203757, 213527, 214728, 214944, 217747, 220620, 236184, 236639, 237533, 237615, 240797, 252722, 255584, 257078, 260079, 260670, 260900, 262864, 263256, 271917, 284885, 308608, 316260, 330498, 355547])
auricula|(3, [303018, 303797, 303985])
shout|(6, [223, 213131, 217770, 226266, 229584, 320523])
feline|(1, [254328])
play-ground|(3, [160852, 161494, 161689])
surgeon|(8, [43246, 67201, 178218, 330836, 330958, 331098, 331111, 331418])
helm|(8, [176283, 177116, 177613, 177778, 177908, 199001, 199035, 199066])
beating|(9, [23353, 122559, 138692, 168907, 168920, 169047, 169863, 255515, 291488])
calc|(1, [278928])
list|(8, [135706, 282611, 295632, 295823, 317693, 324551, 324649, 324832])
mainsail|(4, [176253, 176940, 177048, 206981])
lead-work|(1, [268337])
partaker|(1, [236808])
casement|(6, [46050, 46231, 46641, 51114, 88818, 121282])
editing|(1, [279628])
foreboding|(1, [24315])
heard|(21, [473, 31188, 31585, 41587, 48195, 51860, 52543, 91788, 123700, 201055, 288894, 289975, 290581, 290633, 332615, 332635, 332701, 334438, 335466, 335698, 335926])
jet-black|(1, [96195])
fervid|(2, [82088, 307944])
cadaverousness|(1, [117513])
problem|(4, [71794, 76326, 226761, 281746])
prone|(1, [51901])
carcase|(2, [37415, 245179])
nihility|(2, [106329, 108258])
attendant|(4, [79780, 154178, 194792, 305076])
financier|(1, [310203])
ambition|(12, [86883, 149671, 150533, 150572, 152645, 161857, 166590, 166879, 341582, 342408, 342442, 344472])
honesty|(1, [293939])
furnace|(3, [31763, 94523, 103758])
liqueur|(6, [187009, 187516, 187741, 270979, 271745, 313902])
dan|(1, [24131])
ee|(1, [32802])
alteration|(28, [3598, 14415, 14877, 16673, 16854, 72016, 96068, 109186, 112487, 122034, 135810, 143151, 143585, 151553, 156988, 171386, 172248, 187157, 243293, 248877, 280152, 283787, 284051, 308408, 337068, 343343, 358957, 359263])
landlady|(3, [268163, 313218, 313656])
brief|(7, [15541, 70452, 109189, 131333, 294896, 316147, 360301])
adaptation|(5, [108247, 116934, 150856, 150904, 342800])
sovereignty|(1, [34957])
piety|(1, [313610])
thunderbolt|(1, [99394])
gait|(6, [40637, 79108, 127360, 162839, 163905, 167647])
fuel|(6, [167362, 179725, 216207, 224361, 226654, 228592])
crowd|(36, [97, 870, 17284, 37048, 41969, 45732, 80876, 88896, 113339, 113466, 125788, 145334, 145474, 176892, 220828, 230285, 230732, 231140, 235654, 237834, 241711, 248442, 251709, 256135, 256569, 256702, 256801, 257098, 261017, 284479, 284773, 311893, 316168, 318951, 331751, 359398])
prince|(7, [124399, 124487, 125898, 126194, 126220, 126316, 344859])
dusk|(10, [53578, 56460, 63228, 68745, 68800, 68858, 68949, 126897, 215625, 216426])
bulk|(20, [251, 4237, 16300, 16352, 58497, 58684, 58906, 58951, 59466, 79864, 80105, 84154, 84348, 131849, 131927, 194641, 194651, 194819, 226065, 238169])
steward|(1, [206470])
efficacy|(1, [233550])
apothegm|(1, [79815])
infantry|(1, [331444])
tightening|(2, [60797, 94974])
futility|(2, [118632, 319855])
thinker|(2, [171374, 278165])
tongue|(27, [8785, 32138, 43067, 45223, 80463, 110803, 110911, 111313, 111736, 111904, 121796, 129866, 131238, 148330, 247576, 259874, 261215, 262613, 265817, 269731, 278626, 288259, 289582, 326292, 332643, 333061, 337148])
affair|(31, [29943, 31538, 41305, 43394, 48029, 50113, 51889, 52036, 52473, 53443, 62926, 63073, 64590, 69633, 82454, 82754, 82899, 103434, 108507, 191150, 262459, 280221, 281635, 281728, 292942, 333275, 335097, 335437, 335633, 336132, 336252])
shutter|(7, [46874, 46945, 46990, 50551, 50579, 50840, 158270])
paragrab|(3, [281296, 281322, 281793])
memorandum|(5, [30511, 31554, 245902, 313328, 313805])
grooming|(1, [284309])
flamingo|(2, [174043, 174831])
fall|(27, [13230, 21770, 34532, 39187, 97092, 126599, 130315, 130322, 139863, 140096, 186715, 191804, 194004, 207254, 209255, 237278, 239988, 250458, 250548, 251870, 254077, 275697, 282088, 317355, 317514, 321776, 321832])
cake|(1, [301524])
razor|(8, [40951, 43243, 47922, 50314, 50446, 50885, 141293, 141289])
embodiment|(4, [53345, 152599, 344431, 357674])
atom|(2, [106357, 354576])
lifetime|(1, [179435])
marine|(1, [208415])
five-pound|(1, [8674])
separate|(1, [297738])
foaming|(3, [156938, 265739, 283268])
riding|(1, [99179])
lady|(100, [41227, 41366, 41558, 41612, 42325, 43007, 44432, 44810, 47902, 50905, 51104, 53637, 54176, 55285, 68679, 81952, 82256, 89070, 90110, 90345, 118322, 118432, 118550, 119960, 120384, 120674, 134118, 134632, 134760, 144448, 144902, 145033, 245983, 250382, 250529, 251287, 251966, 258412, 259551, 259611, 260054, 260432, 260752, 260917, 261450, 261839, 265790, 266790, 266959, 267034, 267177, 269357, 269508, 269590, 269738, 270479, 270764, 270971, 271476, 272008, 275452, 285691, 285831, 287733, 288859, 288992, 289004, 289054, 289100, 289568, 289625, 289680, 291363, 301661, 303197, 305767, 311258, 312066, 312097, 312185, 312688, 312760, 312793, 312822, 312862, 312868, 312890, 316517, 326241, 328731, 328840, 328872, 329356, 331101, 335215, 339555, 339571, 339610, 344751, 344873])
continent|(12, [9523, 14549, 74086, 93670, 93724, 166507, 219361, 223591, 226767, 320703, 320998, 322495])
thoroughfare|(2, [40034, 53521])
scholar|(2, [161587, 296893])
lofty|(8, [121373, 122654, 154799, 219544, 246513, 249390, 249731, 282082])
hi|(6, [272355, 272355, 272356, 288579, 288579, 288580])
pearl|(1, [303619])
need|(10, [1992, 34942, 60887, 67916, 129087, 146103, 173442, 203837, 233238, 262156])
correspondent|(1, [19387])
east|(18, [811, 3169, 19143, 20693, 132394, 156375, 156652, 156971, 158198, 158217, 158311, 158651, 164265, 218866, 224753, 238925, 243237, 273849])
preceding|(1, [146646])
coolness|(2, [143360, 176746])
slain|(2, [37653, 302669])
mill|(3, [137884, 318276, 340437])
rubbed|(1, [177545])
magnetism|(1, [258125])
axis|(11, [5090, 6768, 17814, 72522, 72608, 72638, 72645, 73999, 74868, 274156, 351547])
duk|(2, [306692, 306696])
concentration|(3, [119135, 150844, 342756])
suitor|(3, [53555, 61375, 64194])
horrendum|(2, [89183, 287908])
prove|(1, [223017])
